Feedback_ID,Student_ID,Course_ID,Course_Name,Semester,Date,Language,Rating,Feedback_Text,Overall_Sentiment,Sentiment_Confidence,Aspect_Records,Topic_ID,Topic_Name,Topic_Probability,Cleaned_Text,Detected_Language,Language_Confidence,Predicted_Sentiment,Polarity_Score
FB_00012,STU_1993,DS201,Data Structures & Algorithms,Sem 6,2026-09-04,Hinglish,3,"Content bohot interesting hai, practical knowledge kaafi mili. but Exam hall mein time bohot kam mila itne lengthy questions ke liye.",Neutral,0.85,"[{""aspect"": ""Course Content"", ""sentiment"": ""Positive"", ""confidence"": 0.84, ""snippet"": ""Content bohot interesting hai, practical knowledge kaafi mili.""}, {""aspect"": ""Exams"", ""sentiment"": ""Negative"", ""confidence"": 0.86, ""snippet"": ""Exam hall mein time bohot kam mila itne lengthy questions ke liye.""}]",2,Exam Difficulty & Time Management,0.17,"content bohot interesting hai, practical knowledge kaafi mili. but exam hall mein time bohot kam mila itne lengthy questions ke liye.",Hinglish,0.87,Neutral,-0.096
FB_00013,STU_2528,CS101,Introduction to Programming,Sem 6,2026-10-19,Hinglish,5,Questions ka statement confusing hai aur assignment ka workload overwhelming hai. par Faculty aur TAs hamesha doubt session mein help karne ke liye ready rehte hain. par Practical coding exercises se actual software building seekha.,Positive,0.51,"[{""aspect"": ""Assignments"", ""sentiment"": ""Negative"", ""confidence"": 0.96, ""snippet"": ""Questions ka statement confusing hai aur assignment ka workload overwhelming hai.""}, {""aspect"": ""Faculty Support"", ""sentiment"": ""Positive"", ""confidence"": 0.98, ""snippet"": ""Faculty aur TAs hamesha doubt session mein help karne ke liye ready rehte hain.""}, {""aspect"": ""Practical Sessions"", ""sentiment"": ""Positive"", ""confidence"": 0.87, ""snippet"": ""Practical coding exercises se actual software building seekha.""}]",2,Exam Difficulty & Time Management,0.15,questions ka statement confusing hai aur assignment ka workload overwhelming hai. par faculty aur tas hamesha doubt session mein help karne ke liye ready rehte hain. par practical coding exercises se actual software building seekha.,Hinglish,0.89,Positive,0.487
FB_00014,STU_6138,CS101,Introduction to Programming,Sem 2,2024-07-22,Hinglish,1,Lab sessions bilkul unorganized the aur mentor support zero tha.,Negative,0.79,"[{""aspect"": ""Practical Sessions"", ""sentiment"": ""Negative"", ""confidence"": 0.83, ""snippet"": ""Lab sessions bilkul unorganized the aur mentor support zero tha.""}]",2,Exam Difficulty & Time Management,0.16,lab sessions bilkul unorganized the aur mentor support zero tha.,Hinglish,0.9,Negative,-0.792
FB_00015,STU_1651,ML301,Machine Learning & Neural Networks,Sem 2,2024-10-02,English,1,Classroom air conditioning and projectors are frequently broken.,Negative,0.89,"[{""aspect"": ""Infrastructure"", ""sentiment"": ""Negative"", ""confidence"": 0.87, ""snippet"": ""Classroom air conditioning and projectors are frequently broken.""}]",1,Lab Infrastructure & Hardware,0.15,classroom air conditioning and projectors are frequently broken.,English,0.85,Negative,-0.887
FB_00016,STU_6180,WD102,Full-Stack Web Development,Sem 6,2026-10-19,Hindi,4,पढ़ाने का तरीका सामान्य है और पाठ्यक्रम के अनुसार चलता है। इसके अलावा लैब में खुद कोड चलाकर सीखने का बहुत अच्छा अवसर मिला। इसके अलावा अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।,Positive,0.93,"[{""aspect"": ""Teaching Quality"", ""sentiment"": ""Neutral"", ""confidence"": 0.83, ""snippet"": ""पढ़ाने का तरीका सामान्य है और पाठ्यक्रम के अनुसार चलता है।""}, {""aspect"": ""Practical Sessions"", ""sentiment"": ""Positive"", ""confidence"": 0.84, ""snippet"": ""लैब में खुद कोड चलाकर सीखने का बहुत अच्छा अवसर मिला।""}, {""aspect"": ""Study Material"", ""sentiment"": ""Positive"", ""confidence"": 0.96, ""snippet"": ""अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।""}]",5,Course Theme 6,0.17,पढ़ाने का तरीका सामान्य है और पाठ्यक्रम के अनुसार चलता है। इसके अलावा लैब में खुद कोड चलाकर सीखने का बहुत अच्छा अवसर मिला। इसके अलावा अध्ययन सामग्री और नोट्स बहुत ही उपयोगी और स्पष्ट हैं।,Hindi,0.99,Positive,0.926
FB_00017,STU_2697,SE303,Software Engineering & Architecture,Sem 6,2026-08-01,Hindi,5,विषय वस्तु बहुत समृद्ध और व्यावहारिक ज्ञान से भरपूर है। इसके अलावा टीम प्रोजेक्ट का अनुभव काफी प्रेरणादायक और व्यावहारिक रहा।,Positive,0.89,"[{""aspect"": ""Course Content"", ""sentiment"": ""Positive"", ""confidence"": 0.92, ""snippet"": ""विषय वस्तु बहुत समृद्ध और व्यावहारिक ज्ञान से भरपूर है।""}, {""aspect"": ""Projects"", ""sentiment"": ""Positive"", ""confidence"": 0.9, ""snippet"": ""टीम प्रोजेक्ट का अनुभव काफी प्रेरणादायक और व्यावहारिक रहा।""}]",5,Course Theme 6,0.17,विषय वस्तु बहुत समृद्ध और व्यावहारिक ज्ञान से भरपूर है। इसके अलावा टीम प्रोजेक्ट का अनुभव काफी प्रेरणादायक और व्यावहारिक रहा।,Hindi,0.99,Positive,0.89
FB_00018,STU_5291,DB202,Database Management Systems,Sem 1,2024-02-04,English,1,Project expectations were extremely vague and constantly changing. But Faculty is accessible during designated office hours when scheduled.,Negative,0.76,"[{""aspect"": ""Projects"", ""sentiment"": ""Negative"", ""confidence"": 0.83, ""snippet"": ""Project expectations were extremely vague and constantly changing.""}, {""aspect"": ""Faculty Support"", ""sentiment"": ""Neutral"", ""confidence"": 0.95, ""snippet"": ""Faculty is accessible during designated office hours when scheduled.""}]",1,Lab Infrastructure & Hardware,0.16,project expectations were extremely vague and constantly changing. but faculty is accessible during designated office hours when scheduled.,English,0.86,Negative,-0.745
FB_00019,STU_6794,DS201,Data Structures & Algorithms,Sem 2,2024-10-22,Hindi,2,"शिक्षक ईमेल का जवाब नहीं देते और संदेह पूछने पर डांटते हैं। वहीं दूसरी ओर अध्ययन सामग्री सामान्य थी, परीक्षा पास करने के लिए पर्याप्त।",Negative,0.6,"[{""aspect"": ""Faculty Support"", ""sentiment"": ""Negative"", ""confidence"": 0.96, ""snippet"": ""शिक्षक ईमेल का जवाब नहीं देते और संदेह पूछने पर डांटते हैं।""}, {""aspect"": ""Study Material"", ""sentiment"": ""Neutral"", ""confidence"": 0.82, ""snippet"": ""अध्ययन सामग्री सामान्य थी, परीक्षा पास करने के लिए पर्याप्त।""}]",0,Course Theme 1,0.17,"शिक्षक ईमेल का जवाब नहीं देते और संदेह पूछने पर डांटते हैं। वहीं दूसरी ओर अध्ययन सामग्री सामान्य थी, परीक्षा पास करने के लिए पर्याप्त।",Hindi,0.99,Negative,-0.477
FB_00020,STU_7267,DS201,Data Structures & Algorithms,Sem 2,2024-07-19,English,5,"Exams were well balanced and fairly tested our conceptual understanding. At the same time, Detailed constructive feedback was provided on all test papers. Although Practical sessions were routine weekly coding tasks.",Positive,0.96,"[{""aspect"": ""Exams"", ""sentiment"": ""Positive"", ""confidence"": 0.86, ""snippet"": ""Exams were well balanced and fairly tested our conceptual understanding.""}, {""aspect"": ""Evaluation"", ""sentiment"": ""Positive"", ""confidence"": 0.96, ""snippet"": ""Detailed constructive feedback was provided on all test papers.""}, {""aspect"": ""Practical Sessions"", ""sentiment"": ""Neutral"", ""confidence"": 0.88, ""snippet"": ""Practical sessions were routine weekly coding tasks.""}]",3,Exam Difficulty & Time Management (Track 4),0.17,"exams were well balanced and fairly tested our conceptual understanding. at the same time, detailed constructive feedback was provided on all test papers. although practical sessions were routine weekly coding tasks.",English,0.85,Positive,0.961
FB_00021,STU_6663,AI401,Artificial Intelligence & Robotics,Sem 3,2025-04-18,English,4,"Faculty is accessible during designated office hours when scheduled. At the same time, Curated reference papers and textbook readings were very helpful.",Positive,0.82,"[{""aspect"": ""Faculty Support"", ""sentiment"": ""Neutral"", ""confidence"": 0.88, ""snippet"": ""Faculty is accessible during designated office hours when scheduled.""}, {""aspect"": ""Study Material"", ""sentiment"": ""Positive"", ""confidence"": 0.83, ""snippet"": ""Curated reference papers and textbook readings were very helpful.""}]",1,Lab Infrastructure & Hardware,0.16,"faculty is accessible during designated office hours when scheduled. at the same time, curated reference papers and textbook readings were very helpful.",English,0.86,Positive,0.818
FB_00022,STU_8066,CN204,Computer Networks & Security,Sem 6,2026-07-23,Hindi,5,"पढ़ाने की गति बहुत तेज है, कुछ भी समझ नहीं आता। परन्तु साझा की गई किताबें और संदर्भ सामग्री परीक्षा में बहुत काम आईं। साथ ही साथ मार्क्स के साथ सुधार के लिए विस्तृत सुझाव भी दिए गए।",Positive,0.55,"[{""aspect"": ""Lecture Pace"", ""sentiment"": ""Negative"", ""confidence"": 0.94, ""snippet"": ""पढ़ाने की गति बहुत तेज है, कुछ भी समझ नहीं आता।""}, {""aspect"": ""Study Material"", ""sentiment"": ""Positive"", ""confidence"": 0.93, ""snippet"": ""साझा की गई किताबें और संदर्भ सामग्री परीक्षा में बहुत काम आईं।""}, {""aspect"": ""Evaluation"", ""sentiment"": ""Positive"", ""confidence"": 0.91, ""snippet"": ""मार्क्स के साथ सुधार के लिए विस्तृत सुझाव भी दिए गए।""}]",5,Course Theme 6,0.17,"पढ़ाने की गति बहुत तेज है, कुछ भी समझ नहीं आता। परन्तु साझा की गई किताबें और संदर्भ सामग्री परीक्षा में बहुत काम आईं। साथ ही साथ मार्क्स के साथ सुधार के लिए विस्तृत सुझाव भी दिए गए।",Hindi,0.99,Neutral,0.059
FB_00023,STU_5978,CS101,Introduction to Programming,Sem 3,2025-02-20,English,1,No proper reference notes or textbooks were recommended.,Negative,0.82,"[{""aspect"": ""Study Material"", ""sentiment"": ""Negative"", ""confidence"": 0.89, ""snippet"": ""No proper reference notes or textbooks were recommended.""}]",1,Lab Infrastructure & Hardware,0.16,no proper reference notes or textbooks were recommended.,English,0.82,Negative,-0.818
FB_00024,STU_2530,CN204,Computer Networks & Security,Sem 1,2024-04-28,English,1,"Exams were well balanced and fairly tested our conceptual understanding. Additionally, Wi-Fi connectivity in lecture hall and labs is frustratingly unreliable. At the same time, The course jumped from basic syntax straight to unsolvable hard problems.",Negative,0.63,"[{""aspect"": ""Exams"", ""sentiment"": ""Positive"", ""confidence"": 0.84, ""snippet"": ""Exams were well balanced and fairly tested our conceptual understanding.""}, {""aspect"": ""Infrastructure"", ""sentiment"": ""Negative"", ""confidence"": 0.92, ""snippet"": ""Wi-Fi connectivity in lecture hall and labs is frustratingly unreliable.""}, {""aspect"": ""Difficulty"", ""sentiment"": ""Negative"", ""confidence"": 0.89, ""snippet"": ""The course jumped from basic syntax straight to unsolvable hard problems.""}]",1,Lab Infrastructure & Hardware,0.15,"exams were well balanced and fairly tested our conceptual understanding. additionally, wi-fi connectivity in lecture hall and labs is frustratingly unreliable. at the same time, the course jumped from basic syntax straight to unsolvable hard problems.",Hinglish,0.8,Negative,-0.614
FB_00025,STU_3881,ML301,Machine Learning & Neural Networks,Sem 1,2024-04-26,Hinglish,2,"Project submission instructions bohot confusing aur last minute change hoti hain. waise Lab manuals outdated hain aur code errors solve nahi karate. aur sath hi sath Syllabus cover ho gaya time pe, average teaching quality.",Negative,0.65,"[{""aspect"": ""Projects"", ""sentiment"": ""Negative"", ""confidence"": 0.89, ""snippet"": ""Project submission instructions bohot confusing aur last minute change hoti hain.""}, {""aspect"": ""Practical Sessions"", ""sentiment"": ""Negative"", ""confidence"": 0.97, ""snippet"": ""Lab manuals outdated hain aur code errors solve nahi karate.""}, {""aspect"": ""Teaching Quality"", ""sentiment"": ""Neutral"", ""confidence"": 0.95, ""snippet"": ""Syllabus cover ho gaya time pe, average teaching quality.""}]",2,Exam Difficulty & Time Management,0.17,"project submission instructions bohot confusing aur last minute change hoti hain. waise lab manuals outdated hain aur code errors solve nahi karate. aur sath hi sath syllabus cover ho gaya time pe, average teaching quality.",Hinglish,0.83,Negative,-0.651
FB_00026,STU_4919,WD102,Full-Stack Web Development,Sem 6,2026-08-19,English,3,"Detailed constructive feedback was provided on all test papers. At the same time, The difficulty level is brutal and assumes way too many advanced prerequisites.",Neutral,0.75,"[{""aspect"": ""Evaluation"", ""sentiment"": ""Positive"", ""confidence"": 0.87, ""snippet"": ""Detailed constructive feedback was provided on all test papers.""}, {""aspect"": ""Difficulty"", ""sentiment"": ""Negative"", ""confidence"": 0.84, ""snippet"": ""The difficulty level is brutal and assumes way too many advanced prerequisites.""}]",3,Exam Difficulty & Time Management (Track 4),0.17,"detailed constructive feedback was provided on all test papers. at the same time, the difficulty level is brutal and assumes way too many advanced prerequisites.",Hinglish,0.8,Neutral,-0.017
FB_00027,STU_2020,AI401,Artificial Intelligence & Robotics,Sem 3,2025-02-10,Hindi,5,"निर्धारित समय पर ही शिक्षक से मिलना संभव हो पाता है। वहीं दूसरी ओर साझा की गई किताबें और संदर्भ सामग्री परीक्षा में बहुत काम आईं। हालांकि शिक्षण मानक स्तर का है, न बहुत अच्छा न बहुत बुरा।",Positive,0.85,"[{""aspect"": ""Faculty Support"", ""sentiment"": ""Neutral"", ""confidence"": 0.9, ""snippet"": ""निर्धारित समय पर ही शिक्षक से मिलना संभव हो पाता है।""}, {""aspect"": ""Study Material"", ""sentiment"": ""Positive"", ""confidence"": 0.96, ""snippet"": ""साझा की गई किताबें और संदर्भ सामग्री परीक्षा में बहुत काम आईं।""}, {""aspect"": ""Teaching Quality"", ""sentiment"": ""Neutral"", ""confidence"": 0.91, ""snippet"": ""शिक्षण मानक स्तर का है, न बहुत अच्छा न बहुत बुरा।""}]",0,Course Theme 1,0.18,"निर्धारित समय पर ही शिक्षक से मिलना संभव हो पाता है। वहीं दूसरी ओर साझा की गई किताबें और संदर्भ सामग्री परीक्षा में बहुत काम आईं। हालांकि शिक्षण मानक स्तर का है, न बहुत अच्छा न बहुत बुरा।",Hindi,0.99,Positive,0.844
FB_00028,STU_3704,AI401,Artificial Intelligence & Robotics,Sem 1,2024-05-01,English,3,"Homework problem statements are ambiguous and poorly specified. Moreover, Curated reference papers and textbook readings were very helpful.",Neutral,0.75,"[{""aspect"": ""Assignments"", ""sentiment"": ""Negative"", ""confidence"": 0.91, ""snippet"": ""Homework problem statements are ambiguous and poorly specified.""}, {""aspect"": ""Study Material"", ""sentiment"": ""Positive"", ""confidence"": 0.84, ""snippet"": ""Curated reference papers and textbook readings were very helpful.""}]",1,Lab Infrastructure & Hardware,0.15,"homework problem statements are ambiguous and poorly specified. moreover, curated reference papers and textbook readings were very helpful.",English,0.84,Neutral,0.053
FB_00029,STU_5558,AI401,Artificial Intelligence & Robotics,Sem 3,2025-04-21,English,3,"Zero guidance provided when students struggle with core concepts. Additionally, Appropriate level of rigor for this academic stage. Additionally, The topics covered are standard university curriculum requirements.",Neutral,0.86,"[{""aspect"": ""Faculty Support"", ""sentiment"": ""Negative"", ""confidence"": 0.91, ""snippet"": ""Zero guidance provided when students struggle with core concepts.""}, {""aspect"": ""Difficulty"", ""sentiment"": ""Positive"", ""confidence"": 0.83, ""snippet"": ""Appropriate level of rigor for this academic stage.""}, {""aspect"": ""Course Content"", ""sentiment"": ""Neutral"", ""confidence"": 0.94, ""snippet"": ""The topics covered are standard university curriculum requirements.""}]",1,Lab Infrastructure & Hardware,0.16,"zero guidance provided when students struggle with core concepts. additionally, appropriate level of rigor for this academic stage. additionally, the topics covered are standard university curriculum requirements.",English,0.85,Neutral,-0.013
FB_00030,STU_8619,ML301,Machine Learning & Neural Networks,Sem 6,2026-10-12,English,3,"Too rushed towards the end of semester to finish pending syllabus. However, Weekly homework exercises directly reinforced the lecture material.",Neutral,0.84,"[{""aspect"": ""Lecture Pace"", ""sentiment"": ""Negative"", ""confidence"": 0.93, ""snippet"": ""Too rushed towards the end of semester to finish pending syllabus.""}, {""aspect"": ""Assignments"", ""sentiment"": ""Positive"", ""confidence"": 0.84, ""snippet"": ""Weekly homework exercises directly reinforced the lecture material.""}]",1,Lab Infrastructure & Hardware,0.15,"too rushed towards the end of semester to finish pending syllabus. however, weekly homework exercises directly reinforced the lecture material.",Hinglish,0.8,Neutral,0.07
FB_00031,STU_2669,ML301,Machine Learning & Neural Networks,Sem 6,2026-10-12,English,4,Infrastructure is standard university setup with basic desktop systems. Although Curated reference papers and textbook readings were very helpful.,Positive,0.79,"[{""aspect"": ""Infrastructure"", ""sentiment"": ""Neutral"", ""confidence"": 0.88, ""snippet"": ""Infrastructure is standard university setup with basic desktop systems.""}, {""aspect"": ""Study Material"", ""sentiment"": ""Positive"", ""confidence"": 0.83, ""snippet"": ""Curated reference papers and textbook readings were very helpful.""}]",1,Lab Infrastructure & Hardware,0.16,infrastructure is standard university setup with basic desktop systems. although curated reference papers and textbook readings were very helpful.,English,0.83,Positive,0.785
FB_00032,STU_3506,WD102,Full-Stack Web Development,Sem 6,2026-09-08,Hinglish,3,Project submission routine level ka tha.,Neutral,0.71,"[{""aspect"": ""Projects"", ""sentiment"": ""Neutral"", ""confidence"": 0.92, ""snippet"": ""Project submission routine level ka tha.""}]",2,Exam Difficulty & Time Management,0.17,project submission routine level ka tha.,Hinglish,0.87,Neutral,-0.009
FB_00033,STU_5022,CN204,Computer Networks & Security,Sem 6,2026-10-29,Hindi,5,बुनियादी समझ के बिना ही सीधे कठिन विषयों पर चले गए। हालांकि लैब में खुद कोड चलाकर सीखने का बहुत अच्छा अवसर मिला। वहीं दूसरी ओर प्रश्न पत्र सोचने पर मजबूर करने वाला लेकिन हल करने योग्य था।,Positive,0.65,"[{""aspect"": ""Difficulty"", ""sentiment"": ""Negative"", ""confidence"": 0.87, ""snippet"": ""बुनियादी समझ के बिना ही सीधे कठिन विषयों पर चले गए।""}, {""aspect"": ""Practical Sessions"", ""sentiment"": ""Positive"", ""confidence"": 0.85, ""snippet"": ""लैब में खुद कोड चलाकर सीखने का बहुत अच्छा अवसर मिला।""}, {""aspect"": ""Exams"", ""sentiment"": ""Positive"", ""confidence"": 0.87, ""snippet"": ""प्रश्न पत्र सोचने पर मजबूर करने वाला लेकिन हल करने योग्य था।""}]",5,Course Theme 6,0.18,बुनियादी समझ के बिना ही सीधे कठिन विषयों पर चले गए। हालांकि लैब में खुद कोड चलाकर सीखने का बहुत अच्छा अवसर मिला। वहीं दूसरी ओर प्रश्न पत्र सोचने पर मजबूर करने वाला लेकिन हल करने योग्य था।,Hindi,0.99,Positive,0.632
FB_00034,STU_8800,ML301,Machine Learning & Neural Networks,Sem 6,2026-10-05,English,3,Hands-on lab sessions were excellent and reinforced lecture theory. Although The instructor seems unprepared during theoretical lectures.,Neutral,0.79,"[{""aspect"": ""Practical Sessions"", ""sentiment"": ""Positive"", ""confidence"": 0.88, ""snippet"": ""Hands-on lab sessions were excellent and reinforced lecture theory.""}, {""aspect"": ""Teaching Quality"", ""sentiment"": ""Negative"", ""confidence"": 0.9, ""snippet"": ""The instructor seems unprepared during theoretical lectures.""}]",1,Lab Infrastructure & Hardware,0.16,hands-on lab sessions were excellent and reinforced lecture theory. although the instructor seems unprepared during theoretical lectures.,English,0.84,Neutral,0.07
FB_00035,STU_4777,SE303,Software Engineering & Architecture,Sem 4,2025-07-30,English,3,"Too rushed towards the end of semester to finish pending syllabus. Furthermore, The curriculum covers both solid theory and real-world applications.",Neutral,0.94,"[{""aspect"": ""Lecture Pace"", ""sentiment"": ""Negative"", ""confidence"": 0.85, ""snippet"": ""Too rushed towards the end of semester to finish pending syllabus.""}, {""aspect"": ""Course Content"", ""sentiment"": ""Positive"", ""confidence"": 0.86, ""snippet"": ""The curriculum covers both solid theory and real-world applications.""}]",1,Lab Infrastructure & Hardware,0.16,"too rushed towards the end of semester to finish pending syllabus. furthermore, the curriculum covers both solid theory and real-world applications.",Hinglish,0.8,Neutral,0.023
